activity_type,company_name,full_name,job_title,email,phone,address,city,state,country,zip_code,industry,nature_of_business,engagement_level,company_size,company_revenue,last_activity,content_name,asset_description,booth_scan_notes,consent_statement_served,consent_response
Product View,Prism Networks,Cheryl Ramirez,Third Party Risk Manager,cherylr@prismnetwork.net,(619) 453-9392,6030 Church St,Los Angeles,CA,United States  ,90001,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",High,501-1K,$10M-$50M,2026-06-10 14:04:55,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Lunar Labs,Ryan Morales,Penetration Tester,ryanm@lunarlabs.com,+15 927-8163,6177 Maple Dr,Tel Aviv,Tel Aviv,Israel,6100000,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Medium,10K-50K,$500M-$1B,2026-06-10 11:33:17,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Product View,Quantum Systems,Jonathan Mitchell,Security Awareness Manager,jonathan.mitchell@quantumsyste.org,+78 687-8564,2565 Church St,Seoul,Seoul,South Korea,04524,Oil And Gas Extraction,Oil And Gas Extraction,Medium,10K-50K,$100M-$500M,2026-06-10 10:12:36,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Product View,Lunar Labs,Lawrence Clark,CTO,lawrence.clark@lunarlabs.co,(564) 458-6079,643 Washington Ave,Montreal,Quebec,Canada,H2X,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",High,Unavailable,$1B-$10B,2026-06-10 10:40:35,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Product View,Falcon Security,Paul Peterson,Deputy CISO,paul.peterson@falconsecuri.org,+26 477-5120,7667 Mission St,Melbourne,VIC,Australia,3000,Insurance Carriers,Insurance Carriers,High,1K-5K,Less Than $1M,2026-06-10 16:14:33,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Helix Technologies,Arthur Cox,Malware Analyst,arthur.cox@helixtechnol.org,+63 273-4743,4695 Mission St,Tokyo,Tokyo,Japan,100-0001,Computer Systems Design And Related Services,Computer Systems Design And Related Services,Very Low,10K-50K,Less Than $1M,2026-06-10 12:57:02,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Quantum Systems,Thomas Murphy,SOC Analyst,thomas.murphy@quantumsyste.com,+97 816-4450,564 Main St,Dublin,Dublin,Ireland,D01,Scientific Research And Development Services,Scientific Research And Development Services,Low,10K-50K,Less Than $1M,2026-06-10 09:09:55,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Titan Systems,Nicole Cruz,Network Security Engineer,nicolec@titansystems.io,+65 292-1457,4236 Lincoln Blvd,Dubai,Dubai,United Arab Emirates,00000,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,High,10K-50K,More Than $10B,2026-06-10 13:19:59,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Forge Digital,Dennis Cooper,Application Security Engineer,dennis@forgedigital.co,+94 987-7789,5713 Elm St,Berlin,Berlin,Germany,10115,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Very High,1-100,$50M-$100M,2026-06-10 13:17:48,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Beacon Networks,Stephanie Miller,VP of Security,stephanie@beaconnetwor.com,(877) 957-5308,9629 Oak Ave,Portland,OR,United States  ,97201,Depository Credit Intermediation,Depository Credit Intermediation,Low,10K-50K,$50M-$100M,2026-06-10 13:17:28,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Aegis Solutions,Walter Mendoza,VP of Security,walter.mendoza@aegissolutio.net,(840) 744-3614,1607 Forest Ave,Los Angeles,CA,United States  ,90001,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Very Low,50K+,$50M-$100M,2026-06-10 11:00:10,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Badge Scan,Nebula Cloud,Sarah Ortiz,Product Security Lead,sortiz@nebulacloud.io,+52 691-8858,202 River Rd,Stockholm,Stockholm,Sweden,11120,Depository Credit Intermediation,Depository Credit Intermediation,Medium,Unavailable,$500M-$1B,2026-06-10 12:21:53,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Badge Scan,Nova Platforms,Henry Flores,Network Security Engineer,henryf@novaplatform.co,(454) 806-7424,2763 Lake St,Seattle,WA,United States  ,98101,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very Low,501-1K,$50M-$100M,2026-06-10 17:08:32,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Zenith Labs,Paul Davis,Compliance Analyst,paul.davis@zenithlabs.org,(870) 395-6983,7952 River Rd,Seattle,WA,United States  ,98101,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very High,50K+,$50M-$100M,2026-06-10 14:11:21,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Content Download,Pinnacle Software,Madison Brooks,IAM Specialist,madisonb@pinnaclesoft.net,(527) 421-5841,8951 Oak Ave,San Francisco,CA,United States  ,94102,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Low,5K-10K,$1B-$10B,2026-06-10 15:07:18,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Horizon Analytics,Madison Price,Security Consultant,madison.price@horizonanaly.io,(849) 916-6966,5180 Lake St,Toronto,Ontario,Canada,M5A,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Medium,5K-10K,More Than $10B,2026-06-10 10:34:13,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Quantum Systems,Zachary Wright,CISO,zacharyw@quantumsyste.com,+59 436-1895,2294 Valley Dr,Mumbai,Maharashtra,India,400001,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Medium,1K-5K,$1M-$10M,2026-06-10 08:28:27,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Lunar Labs,Amanda Smith,IT Manager,asmith@lunarlabs.co,+97 711-8436,2923 Lincoln Blvd,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,Insurance Carriers,Insurance Carriers,Medium,Unavailable,$500M-$1B,2026-06-10 14:30:09,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Badge Scan,Polaris AI,Donna Parker,Security Awareness Manager,dparker@polarisai.io,+21 457-2695,7750 Forest Ave,Stockholm,Stockholm,Sweden,11120,Insurance Carriers,Insurance Carriers,High,50K+,Unavailable,2026-06-10 11:10:21,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Forge Digital,Kevin Morales,DevSecOps Engineer,kmorales@forgedigital.org,+82 737-7021,6618 Valley Dr,Tel Aviv,Tel Aviv,Israel,6100000,Educational Services,Educational Services,High,501-1K,$1M-$10M,2026-06-10 11:06:53,Not Applicable,,,Delegate consented to badge scan,Accepted
Product View,Vertex Solutions,Katherine Kim,CTO,katherinek@vertexsoluti.net,+26 873-8403,9203 Pine Ln,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Medium,50K+,$100M-$500M,2026-06-10 17:14:55,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Content Download,Prism Networks,Gloria Diaz,VP Engineering,gloria.diaz@prismnetwork.net,+72 516-6985,956 Forest Ave,Melbourne,VIC,Australia,3000,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,High,50K+,$100M-$500M,2026-06-10 14:08:12,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Product View,Harbor IT,Betty Mitchell,Security Consultant,betty@harborit.net,(369) 634-5298,6291 Lincoln Blvd,New York,NY,United States  ,10001,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,High,10K-50K,Less Than $1M,2026-06-10 17:55:47,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Badge Scan,Redline Software,Scott Ruiz,Systems Administrator,scott@redlinesoftw.org,+14 527-3330,7713 Hill Rd,Tel Aviv,Tel Aviv,Israel,6100000,"Accounting, Tax Preparation, Bookkeeping, And Payroll Services","Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Very Low,501-1K,Less Than $1M,2026-06-10 10:52:28,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Cipher Defense,Christine Thompson,Penetration Tester,cthompson@cipherdefens.org,(704) 587-4989,5411 Harbor Dr,Miami,FL,United States  ,33101,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Medium,Unavailable,$100M-$500M,2026-06-10 16:34:46,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Product View,Eclipse Security,Benjamin Bennett,Endpoint Security Engineer,bbennett@eclipsesecur.io,(847) 432-6431,8295 Lake St,Portland,OR,United States  ,97201,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Very High,101-500,$1B-$10B,2026-06-10 14:19:30,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Product View,Ember Technologies,Rachel Ross,Endpoint Security Engineer,rachel.ross@embertechnol.net,(785) 909-1723,1177 Spring St,Calgary,Alberta,Canada,T2P,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Very Low,Unavailable,$100M-$500M,2026-06-10 16:19:43,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Content Download,Pinnacle Software,Thomas Thomas,Blue Team Lead,thomas.thomas@pinnaclesoft.com,+7 422-1047,4717 Hill Rd,Berlin,Berlin,Germany,10115,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very High,50K+,$1M-$10M,2026-06-10 16:14:00,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Matrix Defense,Jessica Brown,Compliance Analyst,jbrown@matrixdefens.org,+12 116-5910,2769 Main St,Mumbai,Maharashtra,India,400001,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Very High,5K-10K,$1M-$10M,2026-06-10 17:21:04,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Product View,Iron Gate Tech,Gloria Watson,Data Protection Officer,gloria@irongatetech.io,+5 823-7115,5192 Harbor Dr,Tokyo,Tokyo,Japan,100-0001,Scientific Research And Development Services,Scientific Research And Development Services,Medium,101-500,Less Than $1M,2026-06-10 11:43:58,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Badge Scan,Peak Solutions,Jack Edwards,Deputy CISO,jack@peaksolution.net,+15 316-6980,1747 Pine Ln,Stockholm,Stockholm,Sweden,11120,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Very High,5K-10K,Unavailable,2026-06-10 11:43:53,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Product View,Falcon Security,Benjamin Jimenez,IT Manager,bjimenez@falconsecuri.com,+18 525-2809,6237 Forest Ave,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Very High,5K-10K,Less Than $1M,2026-06-10 15:55:05,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Content Download,Meridian Data,Austin Chavez,CISO,achavez@meridiandata.io,+4 738-5240,6087 Washington Ave,Melbourne,VIC,Australia,3000,Educational Services,Educational Services,High,101-500,$500M-$1B,2026-06-10 16:32:38,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Product View,Titan Systems,Eric Kim,DevSecOps Engineer,eric@titansystems.co,(806) 909-2393,4077 Spring St,Los Angeles,CA,United States  ,90001,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,High,Unavailable,Less Than $1M,2026-06-10 10:03:25,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Badge Scan,Radiant Software,Terry Lopez,Cloud Architect,tlopez@radiantsoftw.org,(296) 472-4852,2826 Park Ave,Boston,MA,United States  ,02101,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very Low,Unavailable,Less Than $1M,2026-06-10 16:28:14,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Content Download,Stratos Computing,Emily Morales,Systems Administrator,emily.morales@stratoscompu.net,+25 791-3820,2929 Oak Ave,Melbourne,VIC,Australia,3000,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very High,501-1K,$10M-$50M,2026-06-10 08:59:10,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Product View,Forge Digital,Larry Gutierrez,Systems Administrator,larry@forgedigital.net,(687) 314-1563,4866 River Rd,Toronto,Ontario,Canada,M5A,Educational Services,Educational Services,Medium,1-100,Less Than $1M,2026-06-10 11:23:34,Container Security Workshop,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Vanguard Tech,Emma Perez,SOC Manager,emmap@vanguardtech.io,+64 792-5518,3534 Park Ave,London,England,United Kingdom Of Great Britain And Northern Ireland (The),EC1,"Electric Power Generation, Transmission And Distribution","Electric Power Generation, Transmission And Distribution",Very Low,1K-5K,Less Than $1M,2026-06-10 14:12:53,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Content Download,Cascade Solutions,Arthur Perez,GRC Manager,arthurp@cascadesolut.io,(712) 367-3658,868 Elm St,Boston,MA,United States  ,02101,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Medium,501-1K,More Than $10B,2026-06-10 15:37:03,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Badge Scan,Redline Software,Jack Torres,Chief Privacy Officer,jack.torres@redlinesoftw.com,(726) 340-2732,2274 Park Ave,Miami,FL,United States  ,33101,Depository Credit Intermediation,Depository Credit Intermediation,Very Low,Unavailable,$1B-$10B,2026-06-10 15:52:37,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Polaris AI,Alexander Bennett,SOC Manager,alexander.bennett@polarisai.io,+31 377-5199,6276 Spring St,Sao Paulo,SP,Brazil,01310,Scientific Research And Development Services,Scientific Research And Development Services,Very High,10K-50K,Less Than $1M,2026-06-10 10:24:49,Not Applicable,,,Delegate consented to badge scan,Accepted
Product View,Forge Digital,Lisa Ortiz,SIEM Engineer,lisa@forgedigital.net,+38 577-3403,1002 Lake St,Dublin,Dublin,Ireland,D01,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",High,5K-10K,$100M-$500M,2026-06-10 10:17:08,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Product View,Iron Gate Tech,Zachary Campbell,Compliance Analyst,zachary@irongatetech.com,(464) 512-7891,6049 Broadway,Minneapolis,MN,United States  ,55401,Scientific Research And Development Services,Scientific Research And Development Services,Medium,101-500,$100M-$500M,2026-06-10 13:47:33,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Content Download,Matrix Defense,Samantha Moore,VP Engineering,samantha.moore@matrixdefens.com,+33 343-2346,7893 Spring St,Dublin,Dublin,Ireland,D01,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Medium,501-1K,$1M-$10M,2026-06-10 12:19:31,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Content Download,Slate Digital,Betty Lewis,Security Program Manager,bettyl@slatedigital.net,+62 235-8230,2098 Valley Dr,Seoul,Seoul,South Korea,04524,Wired And Wireless Telecommunications Carriers,Wired And Wireless Telecommunications Carriers,Medium,501-1K,$10M-$50M,2026-06-10 12:41:08,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Peak Solutions,Kevin Green,Risk Analyst,kgreen@peaksolution.io,(384) 435-8459,2495 Oak Ave,New York,NY,United States  ,10001,Oil And Gas Extraction,Oil And Gas Extraction,High,5K-10K,$1M-$10M,2026-06-10 16:47:34,Cloud Security Posture Management Demo,,,Delegate consented to badge scan,Accepted
Content Download,Quantum Systems,Sharon Morris,GRC Manager,sharonm@quantumsyste.co,(666) 414-4704,6208 Pine Ln,Austin,TX,United States  ,78701,"Securities, Commodity Contracts, And Other Financial Investments","Securities, Commodity Contracts, And Other Financial Investments",Very Low,1-100,Unavailable,2026-06-10 14:12:58,Container Security Workshop,,,Delegate consented to badge scan,Accepted
Product View,Sapphire Systems,Timothy Brooks,Red Team Lead,timothy@sapphiresyst.com,+99 884-7054,1739 Oak Ave,Mumbai,Maharashtra,India,400001,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Very High,10K-50K,Unavailable,2026-06-10 17:23:29,Hacking The AI Stack: Live Red Team Demo,,,Delegate consented to badge scan,Accepted
Product View,Eclipse Security,Jacqueline Thomas,IT Manager,jacqueline.thomas@eclipsesecur.co,(621) 461-4108,3384 Washington Ave,Calgary,Alberta,Canada,T2P,Software Publishers,Software Publishers,Medium,10K-50K,$50M-$100M,2026-06-10 13:37:10,AI-Powered SOC Walkthrough,,,Delegate consented to badge scan,Accepted
Badge Scan,Trident Systems,Timothy Torres,SOC Analyst,ttorres@tridentsyste.org,+24 398-3430,4638 Maple Dr,Stockholm,Stockholm,Sweden,11120,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very Low,1-100,$1M-$10M,2026-06-10 16:21:56,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Atlas Computing,Mark Carter,CISO,mark@atlascomputi.io,(691) 714-4917,9485 Main St,Minneapolis,MN,United States  ,55401,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,High,101-500,$10M-$50M,2026-06-10 09:31:16,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Content Download,Pylon Solutions,Janet Murphy,Director of IT Security,jmurphy@pylonsolutio.org,+61 883-3667,4703 Lake St,Mexico City,CDMX,Mexico,06600,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very High,10K-50K,$10M-$50M,2026-06-10 08:40:45,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Product View,Harbor IT,Jerry Kelly,Cloud Security Engineer,jerry@harborit.net,(309) 636-7646,5970 Oak Ave,Seattle,WA,United States  ,98101,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Very Low,1-100,Less Than $1M,2026-06-10 14:46:47,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Peak Solutions,Emma Williams,Director of IT Security,emmaw@peaksolution.com,(340) 547-8722,6127 Elm St,Phoenix,AZ,United States  ,85001,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,Very Low,1-100,Less Than $1M,2026-06-10 11:55:29,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Content Download,Marble Data,Julie Long,SIEM Engineer,juliel@marbledata.org,+82 936-2492,9058 Park Ave,Singapore,Singapore,Singapore,048616,Aerospace Product And Parts Manufacturing,Aerospace Product And Parts Manufacturing,Medium,101-500,$1B-$10B,2026-06-10 12:07:48,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Badge Scan,Meridian Data,Amanda Wilson,Application Security Engineer,amanda@meridiandata.net,+15 195-3283,9860 Church St,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,"Architectural, Engineering, And Related Services","Architectural, Engineering, And Related Services",Very Low,1K-5K,$1M-$10M,2026-06-10 08:57:34,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Badge Scan,Zenith Labs,Maria Martin,Forensics Analyst,maria@zenithlabs.co,+21 984-3497,9533 Pine Ln,Dubai,Dubai,United Arab Emirates,00000,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Medium,5K-10K,$1B-$10B,2026-06-10 14:07:43,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Zenith Labs,Christian Carter,CTO,ccarter@zenithlabs.org,(594) 546-4691,5916 Lake St,Seattle,WA,United States  ,98101,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Low,1K-5K,More Than $10B,2026-06-10 10:53:53,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Keystone Digital,Virginia Diaz,Cloud Architect,virginiad@keystonedigi.org,+76 112-5546,5927 Hill Rd,Sao Paulo,SP,Brazil,01310,Software Publishers,Software Publishers,Low,501-1K,$100M-$500M,2026-06-10 11:06:26,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Exhibitor Bookmarked,Delta Analytics,Raymond Kim,Security Awareness Manager,raymond@deltaanalyti.com,(434) 693-2361,6623 Oak Ave,Vancouver,British Columbia,Canada,V6B,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Low,5K-10K,Unavailable,2026-06-10 16:50:38,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Delta Analytics,Sarah Wilson,Security Consultant,swilson@deltaanalyti.co,(294) 298-6209,4686 Pine Ln,Chicago,IL,United States  ,60601,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Medium,1-100,$1M-$10M,2026-06-10 14:19:20,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Radiant Software,Eric Ramirez,Endpoint Security Engineer,eric@radiantsoftw.co,+68 835-7049,5871 Church St,Stockholm,Stockholm,Sweden,11120,Oil And Gas Extraction,Oil And Gas Extraction,Low,50K+,$100M-$500M,2026-06-10 13:50:16,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Content Download,Falcon Security,Ann Edwards,Compliance Analyst,ann.edwards@falconsecuri.io,(948) 987-5968,3589 Forest Ave,Montreal,Quebec,Canada,H2X,Scientific Research And Development Services,Scientific Research And Development Services,Very High,501-1K,More Than $10B,2026-06-10 13:56:45,XDR Platform Overview,,,Delegate acknowledged event terms,Acknowledged
Product View,Harbor IT,Cheryl Allen,Security Program Manager,callen@harborit.net,+8 877-9381,1852 Hill Rd,Melbourne,VIC,Australia,3000,Insurance Carriers,Insurance Carriers,Very High,1-100,Unavailable,2026-06-10 15:21:20,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Product View,Slate Digital,Hannah Gray,Vulnerability Management Engineer,hannahg@slatedigital.org,(693) 272-3528,7704 Hill Rd,Calgary,Alberta,Canada,T2P,"Data Processing, Hosting, And Related Services","Data Processing, Hosting, And Related Services",Low,1K-5K,More Than $10B,2026-06-10 09:55:14,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Product View,Sentinel Corp,Robert Castillo,Application Security Engineer,robert@sentinelcorp.co,(663) 256-7000,3440 Pine Ln,Montreal,Quebec,Canada,H2X,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very Low,1K-5K,$1B-$10B,2026-06-10 09:23:20,AI-Powered SOC Walkthrough,,,Delegate acknowledged event terms,Acknowledged
Content Download,Forge Digital,Jennifer Rodriguez,Third Party Risk Manager,jennifer.rodriguez@forgedigital.net,+85 158-4462,7102 Broadway,Paris,Ile-de-France,France,75001,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Medium,1-100,$1B-$10B,2026-06-10 12:02:37,"Research, News, And Perspectives",,,Delegate consented to badge scan,Accepted
Badge Scan,Nova Platforms,Austin Ramos,Security Architect,austin.ramos@novaplatform.io,(833) 670-2660,8767 Park Ave,Chicago,IL,United States  ,60601,Depository Credit Intermediation,Depository Credit Intermediation,High,Unavailable,Less Than $1M,2026-06-10 16:28:11,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Content Download,Polaris AI,Cynthia Stewart,Chief Privacy Officer,cynthia@polarisai.io,(623) 248-2381,806 Main St,Denver,CO,United States  ,80201,Scientific Research And Development Services,Scientific Research And Development Services,High,Unavailable,More Than $10B,2026-06-10 13:19:00,Defensive AI Security Panel,,,Delegate consented to badge scan,Accepted
Badge Scan,Lunar Labs,James Kim,SOC Analyst,james.kim@lunarlabs.org,+49 196-1052,8728 Hill Rd,Stockholm,Stockholm,Sweden,11120,Depository Credit Intermediation,Depository Credit Intermediation,Low,Unavailable,Less Than $1M,2026-06-10 08:07:04,Threat Intelligence Briefing,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Eclipse Security,Jessica Williams,SOC Manager,jessica.williams@eclipsesecur.io,(526) 298-1585,2097 Elm St,New York,NY,United States  ,10001,"Management, Scientific, And Technical Consulting Services","Management, Scientific, And Technical Consulting Services",Very High,101-500,$1B-$10B,2026-06-10 11:34:00,Zero Trust Architecture Deep Dive,,,Delegate consented to badge scan,Accepted
Content Download,Nebula Cloud,Mark Smith,Security Architect,mark@nebulacloud.org,+11 183-7972,3858 Pine Ln,Stockholm,Stockholm,Sweden,11120,Motor Vehicle Manufacturing,Motor Vehicle Manufacturing,Very High,501-1K,$10M-$50M,2026-06-10 14:36:16,Hacking The AI Stack: Live Red Team Demo,,,Delegate acknowledged event terms,Acknowledged
Product View,Titan Systems,Sara Carter,SOC Manager,sara.carter@titansystems.net,(696) 220-3554,5453 Park Ave,Portland,OR,United States  ,97201,Oil And Gas Extraction,Oil And Gas Extraction,Medium,50K+,$500M-$1B,2026-06-10 13:56:59,Defensive AI Security Panel,,,Delegate acknowledged event terms,Acknowledged
Badge Scan,Nova Platforms,Kenneth Price,VP Engineering,kennethp@novaplatform.org,(553) 832-6385,132 Pine Ln,Dallas,TX,United States  ,75201,Oil And Gas Extraction,Oil And Gas Extraction,Medium,501-1K,$100M-$500M,2026-06-10 10:31:04,XDR Platform Overview,,,Delegate consented to badge scan,Accepted
Exhibitor Bookmarked,Falcon Security,Sharon Young,VP Engineering,sharon.young@falconsecuri.org,(902) 398-3517,139 River Rd,Miami,FL,United States  ,33101,Educational Services,Educational Services,Very Low,50K+,$1M-$10M,2026-06-10 11:45:23,Not Applicable,,,Delegate acknowledged event terms,Acknowledged
Content Download,Cobalt Security,Dorothy Johnson,Data Protection Officer,djohnson@cobaltsecuri.org,(722) 963-9014,9187 Main St,Denver,CO,United States  ,80201,General Medical And Surgical Hospitals,General Medical And Surgical Hospitals,High,1K-5K,Less Than $1M,2026-06-10 08:47:56,Zero Trust Architecture Deep Dive,,,Delegate acknowledged event terms,Acknowledged
Content Download,Vertex Solutions,Douglas Robinson,Chief Privacy Officer,douglas.robinson@vertexsoluti.net,+81 260-8113,5209 Lincoln Blvd,Birmingham,England,United Kingdom Of Great Britain And Northern Ireland (The),B1,Activities Related To Credit Intermediation,Activities Related To Credit Intermediation,Very High,101-500,Less Than $1M,2026-06-10 12:40:43,Threat Intelligence Briefing,,,Delegate acknowledged event terms,Acknowledged
Product View,Prism Networks,Ashley Turner,Systems Administrator,ashleyt@prismnetwork.org,(672) 934-2933,4116 Market St,Calgary,Alberta,Canada,T2P,Pharmaceutical And Medicine Manufacturing,Pharmaceutical And Medicine Manufacturing,Very Low,10K-50K,$50M-$100M,2026-06-10 12:38:09,"Research, News, And Perspectives",,,Delegate acknowledged event terms,Acknowledged
